File_Name,Formula,Is_Valid,Is_Novel,Raw_Energy_per_Atom,Relaxed_Energy_per_Atom,Energy_Drop,Physically_Plausible,E_Above_Hull,Novel_And_Plausible,Internal_Duplicate
runn_73.cif,NaTaGa2,True,True,-4.717441082000732,-4.717441082000732,0.0,True,,True,False
runn_67.cif,Zn2BAs (Clashed),False,True,,,,False,,False,False
runn_71.cif,CaBeCdIn,True,True,-2.240401029586792,-2.240400791168213,-2.384185791015625e-07,True,,True,False
runn_65.cif,FeGeMoRu,True,True,-8.176883697509766,-8.176883697509766,0.0,False,,False,False
runn_59.cif,InReBr2,True,True,-4.79049825668335,-4.790498733520508,4.76837158203125e-07,True,,True,False
runn_136.cif,MgFeSiOs,True,True,-6.769365310668945,-6.769365310668945,0.0,True,0.0,True,False
runn_122.cif,KLaZrBe,True,True,-3.922736644744873,-3.922736644744873,0.0,True,,True,False
runn_123.cif,HfFe2Br,True,True,-7.197301864624023,-7.197301864624023,0.0,False,,False,False
runn_137.cif,BeCdHgPd,True,True,-2.651853084564209,-2.65185284614563,-2.384185791015625e-07,True,0.13119759813597875,True,False
runn_58.cif,TlSi2Br,True,True,-3.3208160400390625,-3.3208160400390625,0.0,True,,True,False
runn_64.cif,NbCrOs2,True,True,-10.629329681396484,-10.629329681396484,0.0,False,,False,False
runn_70.cif,AlPtBr,True,True,-4.695538520812988,-4.69553820292155,-3.1789143850602386e-07,True,0.11709057082844865,True,False
runn_4.cif,CaNbRe,True,True,-2.451185703277588,-2.451185703277588,0.0,True,5.616813214579555,True,False
runn_17.cif,FeB2W,True,True,-8.720718383789062,-8.720718383789062,0.0,False,,False,False
runn_144.cif,Co2ReNi,True,True,-6.461758613586426,-6.461758613586426,0.0,True,1.5571799364135739,True,False
run_9.cif,Rb2Sm(CoS2)2,True,True,-5.389501571655273,-5.389501783582899,2.1192762567068257e-07,True,,True,False
run_8.cif,Ba2CrCo,True,True,-4.486809730529785,-4.486809730529785,0.0,True,0.6294458005118804,True,False
